î‘çÜ,VID,AID
64879,K62G10S00048,K62G10S00048
64880,K62G10S00049,K62G10S00049
64881,K62G10S00050,K62G10S00050
64882,K62G10S00051,K62G10S00051
64883,K62G10S00052,K62G10S00052
64884,K62G10S00053,K62G10S00053
64885,K62G10S00054,K62G10S00054
64886,K62G10S00055,K62G10S00055
64887,K62G10S00056,K62G10S00056
64888,K62G10S00057,K62G10S00057
64889,K62G11S00001,K62G11S00001
64890,K62G11S00002,K62G11S00002
64891,K62G11S00003,K62G11S00003
64892,K62G11S00004,K62G11S00004
64893,K62G11S00005,K62G11S00005
64894,K62G11S00006,K62G11S00006
64895,K62G11S00007,K62G11S00007
64896,K62G11S00008,K62G11S00008
64897,K62G11S00009,K62G11S00009
64898,K62G11S00010,K62G11S00010
64899,K62G11S00011,K62G11S00011
64900,K62G11S00012,K62G11S00012
64901,K62G11S00013,K62G11S00013
64902,K62G11S00014,K62G11S00014
64903,K62G11S00015,K62G11S00015
64904,K62G11S00016,K62G11S00016
64905,K62G11S00017,K62G11S00017
64906,K62G11S00018,K62G11S00018
64907,K62G11S00019,K62G11S00019
64908,K62G11S00020,K62G11S00020
64909,K62G11S00021,K62G11S00021
64910,K62G11S00022,K62G11S00022
64911,K62G11S00023,K62G11S00023
64912,K62G11S00024,K62G11S00024
64913,K62G11S00025,K62G11S00025
64914,K62G11S00026,K62G11S00026
64915,K62G11S00027,K62G11S00027
64916,K62G11S00028,K62G11S00028
64917,K62G11S00029,K62G11S00029
64918,K62G11S00030,K62G11S00030
64919,K62G11S00031,K62G11S00031
64920,K62G11S00032,K62G11S00032
64921,K62G11S00033,K62G11S00033
64922,K62G11S00034,K62G11S00034
64923,K62G11S00035,K62G11S00035A
64924,K62G11S00036,K62G11S00036
64925,K62G11S00037,K62G11S00037
64926,K62G11S00038,K62G11S00038
64927,K62G11S00039,K62G11S00039
64928,K62G11S00040,K62G11S00040
64929,K62G11S00041,K62G11S00041
64930,K62G11S00042,K62G11S00042A
64931,K62G11S00043,K62G11S00043
64932,K62G11S00044,K62G11S00044A
64933,K62G11S00045,K62G11S00042A
64934,K62G11S00046,K62G11S00046
64935,K62G11S00047,K62G11S00044A
64936,K62G11S00048,K62G11S00048
64937,K62G11S00049,K62G11S00049
64938,K62G11S00050,K62G11S00050
64939,K62G11S00051,K62G11S00044A
64940,K62G11S00052,K62G11S00035A
64941,K62G11S00053,K62G11S00044A
64942,K62G11S00054,K62G11S00054
64943,K62G11S00055,K62G11S00055A
64944,K62G11S00056,K62G11S00056
64945,K62G11S00057,K62G11S00055A
64946,K62G11S00058,K62G11S00058
64947,K62G11S00059,K62G11S00055A
64948,K62G11S00060,K62G11S00060
64949,K62G11S00061,K62G11S00055A
64950,K62G11S00062,K62G11S00062
64951,K62G11S00063,K62G11S00063
64952,K62G11S00064,K62G11S00064
64953,K62G11S00065,K62G11S00065
64954,K62G11S00066,K62G11S00066
64955,K62G11S00067,K62G11S00067
64956,K62G11S00068,K62G11S00068
64957,K62G11S00069,K62G11S00069
64958,K62G11S00070,K62G11S00070
64959,K62G12S00001,K62G12S00001
64960,K62G12S00002,K62G12S00002
64961,K62G12S00003,K62G12S00003
64962,K62G12S00004,K62G12S00004
64963,K62G12S00005,K62G12S00005
64964,K62G12S00006,K62G12S00006
64965,K62G12S00007,K62G12S00007
64966,K62G12S00008,K62G12S00008
64967,K62G12S00009,K62G12S00009
64968,K62G13S00001,K62G13S00001
64969,K62G13S00002,K62G13S00002
64970,K62G13S00003,K62G13S00003
64971,K62G13S00004,K62G13S00004
64972,K62G13S00005,K62G13S00005
64973,K62G13S00006,K62G13S00006
64974,K62G13S00007,K62G13S00007
64975,K62G13S00008,K62G13S00008
64976,K62G13S00009,K62G13S00009
64977,K62G13S00010,K62G13S00010
64978,K62G13S00011,K62G13S00011A
64979,K62G13S00012,K62G13S00012
64980,K62G13S00013,K62G13S00013
64981,K62G13S00014,K62G13S00014
64982,K62G13S00015,K62G13S00015
64983,K62G13S00016,K62G13S00016
64984,K62G13S00017,K62G13S00017
64985,K62G13S00018,K62G13S00018
64986,K62G13S00019,K62G13S00019
64987,K62G13S00020,K62G13S00020
64988,K62G13S00021,K62G13S00021
64989,K62G13S00022,K62G13S00022
64990,K62G13S00023,K62G13S00023
64991,K62G13S00024,K62G13S00024
64992,K62G13S00025,K62G13S00025
64993,K62G13S00026,K62G13S00026
64994,K62G13S00027,K62G13S00027
64995,K62G13S00028,K62G13S00028
64996,K62G13S00029,K62G13S00029
64997,K62G13S00030,K62G13S00030
64998,K62G13S00031,K62G13S00031
64999,K62G13S00032,K62G13S00032
65000,K62G13S00033,K62G13S00033
65001,K62G13S00034,K62G13S00034
65002,K62G13S00035,K62G13S00035
65003,K62G13S00036,K62G13S00036
65004,K62G13S00037,K62G13S00037
65005,K62G13S00038,K62G13S00038
65006,K62G13S00039,K62G13S00039
65007,K62G13S00040,K62G13S00040
65008,K62G13S00041,K62G13S00041
65009,K62G13S00042,K62G13S00042
65010,K62G13S00043,K62G13S00043
65011,K62G13S00044,K62G13S00044
65012,K62G13S00045,K62G13S00045
65013,K62G13S00046,K62G13S00046
65014,K62G13S00047,K62G13S00047
65015,K62G13S00048,K62G13S00048
65016,K62G13S00049,K62G13S00049
65017,K62G13S00050,K62G13S00050
65018,K62G13S00051,K62G13S00051
65019,K62G13S00052,K62G13S00052
65020,K62G13S00053,K62G13S00053
65021,K62G14S00001,K62G14S00001
65022,K62G14S00002,K62G14S00002
65023,K62G14S00003,K62G14S00003
65024,K62G14S00004,K62G14S00004
65025,K62G14S00005,K62G14S00005
65026,K62G14S00006,K62G14S00006
65027,K62G14S00007,K62G14S00007
65028,K62G14S00008,K62G14S00008
65029,K62G14S00009,K62G14S00009
65030,K62G14S00010,K62G14S00010
65031,K62G14S00011,K62G14S00011
65032,K62G14S00012,K62G14S00012
65033,K62G14S00013,K62G14S00013
65034,K62G14S00014,K62G14S00014
65035,K62G14S00015,K62G14S00015
65036,K62G14S00016,K62G14S00016
65037,K62G14S00017,K62G14S00017
65038,K62G14S00018,K62G14S00018
65039,K62G14S00019,K62G14S00019
65040,K62G14S00020,K62G14S00020
65041,K62G14S00021,K62G14S00021
65042,K62G14S00022,K62G14S00022
65043,K62G14S00023,K62G14S00023
65044,K62G14S00024,K62G14S00024
65045,K62G14S00025,K62G14S00025
65046,K62G14S00026,K62G14S00026
65047,K62G14S00027,K62G14S00027
65048,K62G14S00028,K62G14S00028
65049,K62G14S00029,K62G14S00029
65050,K62G14S00030,K62G14S00030
65051,K62G14S00031,K62G14S00031
65052,K62G14S00032,K62G14S00032
65053,K62G14S00033,K62G14S00033
65054,K62G14S00034,K62G14S00034
65055,K62G14S00035,K62G14S00035
65056,K62G14S00036,K62G14S00036
65057,K62G14S00037,K62G14S00037
65058,K62G14S00038,K62G14S00038
65059,K62G14S00039,K62G14S00039
65060,K62G14S00040,K62G14S00040
65061,K62G14S00041,K62G14S00041
65062,K62G14S00042,K62G14S00042
65063,K62G14S00043,K62G14S00043
65064,K62G14S00044,K62G14S00044
65065,K62G14S00045,K62G14S00045
65066,K62G14S00046,K62G14S00046
65067,K62G14S00047,K62G14S00047
65068,K62G14S00048,K62G14S00048
65069,K62G15S00001,K62G15S00001
65070,K62G15S00002,K62G15S00002
65071,K62G15S00003,K62G15S00003
65072,K62G15S00004,K62G15S00004
65073,K62G15S00005,K62G15S00005
65074,K62G15S00006,K62G15S00006
65075,K62G15S00007,K62G15S00007
65076,K62G15S00008,K62G15S00008
65077,K62G15S00009,K62G15S00009
65078,K62G15S00010,K62G15S00010
65079,K62G15S00011,K62G15S00011
65080,K62G15S00012,K62G15S00012
65081,K62G15S00013,K62G15S00013
65082,K62G15S00014,K62G15S00014
65083,K62G15S00015,K62G15S00015
65084,K62G15S00016,K62G15S00016
65085,K62G15S00017,K62G15S00017
65086,K62G15S00018,K62G15S00018
65087,K62G15S00019,K62G15S00019
65088,K62G15S00020,K62G15S00020
65089,K62G15S00021,K62G15S00021
65090,K62G15S00022,K62G15S00022
65091,K62G15S00023,K62G15S00023
65092,K62G15S00024,K62G15S00024
65093,K62G15S00025,K62G15S00025A
65094,K62G15S00026,K62G15S00025A
65095,K62G15S00027,K62G15S00025A
65096,K62G15S00028,K62G15S00028
65097,K62G15S00029,K62G15S00029
65098,K62G15S00030,K62G15S00030
65099,K62G15S00031,K62G15S00031
65100,K62G15S00032,K62G15S00032A
65101,K62G15S00033,K62G15S00032A
65102,K62G15S00034,K62G15S00034A
65103,K62G15S00035,K62G15S00034A
65104,K62G15S00036,K62G15S00034A
65105,K62G15S00037,K62G15S00037
65106,K62G15S00038,K62G15S00038A
65107,K62G15S00039,K62G15S00038A
65108,K62G15S00040,K62G15S00040
65109,K62G15S00041,K62G15S00041A
65110,K62G15S00042,K62G15S00041A
65111,K62G15S00043,K62G15S00043
65112,K62G15S00044,K62G15S00044
65113,K62G15S00045,K62G15S00045
65114,K62G15S00046,K62G15S00046A
65115,K62G15S00047,K62G15S00046A
65116,K62G15S00048,K62G15S00048
65117,K62G15S00049,K62G15S00049
65118,K62G15S00050,K62G15S00050
65119,K62G15S00051,K62G15S00051A
65120,K62G15S00052,K62G15S00051A
65121,K62G15S00053,K62G15S00053
65122,K62G15S00054,K62G15S00054
65123,K62G15S00055,K62G15S00055
65124,K62G15S00056,K62G15S00056
65125,K62G15S00057,K62G15S00057
65126,K62G15S00058,K62G15S00058
65127,K62G15S00059,K62G15S00059
65128,K62G15S00060,K62G15S00060
65129,K62G15S00061,K62G15S00051A
65130,K62G15S00062,K62G15S00062
65131,K62G15S00063,K62G15S00063
65132,K62G15S00064,K62G15S00064A
65133,K62G15S00065,K62G15S00064A
65134,K62G15S00066,K62G15S00066
65135,K62G15S00067,K62G15S00067
65136,K62G15S00068,K62G15S00068
65137,K62G15S00069,K62G15S00069
65138,K62G15S00070,K62G15S00070
,K62G11S10001,K62G11S00055A
,K62G13S10001,K62G13S00011A
69645,K61G01S00001,K61G01S00001
69646,K61G01S00002,K61G01S00002
69647,K61G01S00003,K61G01S00003
69648,K61G01S00004,K61G01S00004A
69649,K61G01S00005,K61G01S00004A
69650,K61G01S00006,K61G01S00006
69651,K61G01S00007,K61G01S00007
69652,K61G01S00008,K61G01S00008
69653,K61G01S00009,K61G01S00009A
69654,K61G01S00010,K61G01S00009A
69655,K61G01S00011,K61G01S00011
69656,K61G01S00012,K61G01S00012
69657,K61G01S00013,K61G01S00013
69658,K61G01S00014,K61G01S00014
69659,K61G01S00015,K61G01S00015A
69660,K61G01S00016,K61G01S00015A
69661,K61G01S00017,K61G01S00017
69662,K61G01S00018,K61G01S00018
69663,K61G01S00019,K61G01S00019
69664,K61G01S00020,K61G01S00020
69665,K61G01S00021,K61G01S00021
69666,K61G01S00022,K61G01S00022
69667,K61G01S00023,K61G01S00023
69668,K61G01S00024,K61G01S00024
69669,K61G01S00025,K61G01S00025
69670,K61G01S00026,K61G01S00026
69671,K61G01S00027,K61G01S00027
69672,K61G01S00028,K61G01S00028
69673,K61G01S00029,K61G01S00029
69674,K61G01S00030,K61G01S00030
69675,K61G01S00031,K61G01S00031
69676,K61G01S00032,K61G01S00032
69677,K61G01S00033,K61G01S00033
69678,K61G01S00034,K61G01S00034
69679,K61G01S00035,K61G01S00035
69680,K61G01S00036,K61G01S00036
69681,K61G01S00037,K61G01S00037
69682,K61G01S00038,K61G01S00038
69683,K61G01S00039,K61G01S00039
69684,K61G01S00040,K61G01S00040
69685,K61G01S00041,K61G01S00041
69686,K61G01S00042,K61G01S00042
69687,K61G01S00043,K61G01S00043
69688,K61G01S00044,K61G01S00044
69689,K61G02S00001,K61G02S00001
69690,K61G02S00002,K61G02S00002
69691,K61G02S00003,K61G02S00003
69692,K61G02S00004,K61G02S00004
69693,K61G02S00005,K61G02S00005
69694,K61G02S00006,K61G02S00006
69695,K61G02S00007,K61G02S00007
69696,K61G02S00008,K61G02S00008
69697,K61G02S00009,K61G02S00009
69698,K61G02S00010,K61G02S00010
69699,K61G02S00011,K61G02S00011
69700,K61G02S00012,K61G02S00012
69701,K61G02S00013,K61G02S00013
69702,K61G02S00014,K61G02S00014
69703,K61G02S00015,K61G02S00015
69704,K61G02S00016,K61G02S00016
69705,K61G02S00017,K61G02S00017
69706,K61G02S00018,K61G02S00018
69707,K61G02S00019,K61G02S00019
69708,K61G02S00020,K61G02S00020A
69709,K61G02S00021,K61G02S00020A
69710,K61G02S00022,K61G02S00022
69711,K61G02S00023,K61G02S00023
69712,K61G02S00024,K61G02S00024
69713,K61G02S00025,K61G02S00025
69714,K61G02S00026,K61G02S00026
69715,K61G02S00027,K61G02S00027
69716,K61G02S00028,K61G02S00028
69717,K61G02S00029,K61G02S00029
69718,K61G02S00030,K61G02S00030
69719,K61G02S00031,K61G02S00031
69720,K61G02S00032,K61G02S00032
69721,K61G02S00033,K61G02S00033
69722,K61G02S00034,K61G02S00034
69723,K61G02S00035,K61G02S00035
69724,K61G02S00036,K61G02S00036
69725,K61G02S00037,K61G02S00037
69726,K61G02S00038,K61G02S00038
69727,K61G02S00039,K61G02S00039
69728,K61G02S00040,K61G02S00040
69729,K61G02S00041,K61G02S00041
69730,K61G02S00042,K61G02S00042
69731,K61G02S00043,K61G02S00043
69732,K61G02S00044,K61G02S00044
69733,K61G02S00045,K61G02S00045
69734,K61G02S00046,K61G02S00046
69735,K61G02S00047,K61G02S00047
69736,K61G02S00048,K61G02S00048
69737,K61G02S00049,K61G02S00049
69738,K61G02S00050,K61G02S00050
69739,K61G02S00051,K61G02S00051
69740,K61G02S00052,K61G02S00052
69741,K61G02S00053,K61G02S00053
69742,K61G02S00054,K61G02S00054
69743,K61G02S00055,K61G02S00055
69744,K61G02S00056,K61G02S00056
69745,K61G02S00057,K61G02S00057
69746,K61G02S00058,K61G02S00058
69747,K61G02S00059,K61G02S00059
69748,K61G02S00060,K61G02S00060
69749,K61G02S00061,K61G02S00061
69750,K61G02S00062,K61G02S00062
69751,K61G02S00063,K61G02S00063
69752,K61G02S00064,K61G02S00064
69623,K60G01S00001,K60G01S00001
69624,K60G01S00002,K60G01S00002
69625,K60G01S00003,K60G01S00003
69626,K60G01S00004,K60G01S00004
69627,K60G01S00005,K60G01S00005
69628,K60G01S00006,K60G01S00006
69629,K60G01S00007,K60G01S00007
69630,K60G01S00008,K60G01S00008
69631,K60G01S00009,K60G01S00009
69632,K60G01S00010,K60G01S00010
69633,K60G01S00011,K60G01S00011
69634,K60G02S00001,K60G02S00001
69635,K60G02S00002,K60G02S00002
69636,K60G02S00003,K60G02S00003
69637,K60G02S00004,K60G02S00004
69638,K60G02S00005,K60G02S00005
69639,K60G02S00006,K60G02S00006
69640,K60G02S00007,K60G02S00007
69641,K60G02S00008,K60G02S00008
69642,K60G02S00009,K60G02S00009
69643,K60G02S00010,K60G02S00010
69644,K60G02S00011,K60G02S00011
62458,K59G01S00001,K59G01S00001
62459,K59G01S00002,K59G01S00002
62460,K59G01S00003,K59G01S00003
62461,K59G01S00004,K59G01S00004
62462,K59G01S00005,K59G01S00005
62463,K59G01S00006,K59G01S00006
62464,K59G01S00007,K59G01S00007
62465,K59G01S00008,K59G01S00008
62466,K59G01S00009,K59G01S00009
62467,K59G01S00010,K59G01S00010
62468,K59G01S00011,K59G01S00011
62469,K59G01S00012,K59G01S00012
62470,K59G01S00013,K59G01S00013
62471,K59G01S00014,K59G01S00014
62472,K59G01S00015,K59G01S00015
62473,K59G01S00016,K59G01S00016
62474,K59G01S00017,K59G01S00017
62475,K59G01S00018,K59G01S00018
62476,K59G01S00019,K59G01S00019
62477,K59G01S00020,K59G01S00020
62478,K59G01S00021,K59G01S00021
62479,K59G01S00022,K59G01S00022
62480,K59G01S00023,K59G01S00023A
62481,K59G01S00024,K59G01S00023A
62482,K59G01S00025,K59G01S00025A
62483,K59G01S00026,K59G01S00025A
62484,K59G01S00027,K59G01S00027
62485,K59G01S00028,K59G01S00028A
62486,K59G01S00029,K59G01S00028A
62487,K59G01S00030,K59G01S00030A
62488,K59G01S00031,K59G01S00030A
62489,K59G01S00032,K59G01S00032
62490,K59G01S00033,K59G01S00033
62491,K59G01S00034,K59G01S00034
62492,K59G01S00035,K59G01S00035
62493,K59G01S00036,K59G01S00036
62494,K59G01S00037,K59G01S00037
62495,K59G01S00038,K59G01S00038
62496,K59G01S00039,K59G01S00039
62497,K59G01S00040,K59G01S00040
62498,K59G01S00041,K59G01S00041
62499,K59G01S00042,K59G01S00042
62500,K59G01S00043,K59G01S00043
62501,K59G01S00044,K59G01S00044
62502,K59G01S00045,K59G01S00045
62503,K59G01S00046,K59G01S00046
62504,K59G01S00047,K59G01S00047
62505,K59G01S00048,K59G01S00048
62506,K59G01S00049,K59G01S00049
62507,K59G01S00050,K59G01S00050
62508,K59G01S00051,K59G01S00051
62509,K59G01S00052,K59G01S00052A
62510,K59G01S00053,K59G01S00053
62511,K59G01S00054,K59G01S00054
62512,K59G01S00055,K59G01S00055
62513,K59G01S00056,K59G01S00056
62514,K59G01S00057,K59G01S00057
62515,K59G01S00058,K59G01S00058
62516,K59G01S00059,K59G01S00059
62517,K59G01S00060,K59G01S00060
62518,K59G01S00061,K59G01S00061
62519,K59G01S00062,K59G01S00062
62520,K59G01S00063,K59G01S00052A
62521,K59G01S00064,K59G01S00064
62522,K59G01S00065,K59G01S00065
62523,K59G01S00066,K59G01S00066
62524,K59G01S00067,K59G01S00067
62525,K59G01S00068,K59G01S00068
62526,K59G01S00069,K59G01S00069
62527,K59G01S00070,K59G01S00070
62528,K59G01S00071,K59G01S00071
62529,K59G01S00072,K59G01S00072
62530,K59G01S00073,K59G01S00073
62531,K59G01S00074,K59G01S00074
62532,K59G01S00075,K59G01S00075
62533,K59G01S00076,K59G01S00076
62534,K59G01S00077,K59G01S00077
62535,K59G01S00078,K59G01S00078
62536,K59G01S00079,K59G01S00079
62537,K59G01S00080,K59G01S00080
62538,K59G01S00081,K59G01S00081
62539,K59G01S00082,K59G01S00082
62540,K59G01S00083,K59G01S00083
62541,K59G01S00084,K59G01S00084
62542,K59G01S00085,K59G01S00085
62543,K59G01S00086,K59G01S00086A
62544,K59G01S00087,K59G01S00086A
62545,K59G01S00088,K59G01S00088
62546,K59G01S00089,K59G01S00089
62547,K59G01S00090,K59G01S00090
62548,K59G01S00091,K59G01S00091A
62549,K59G01S00092,K59G01S00091A
62550,K59G01S00093,K59G01S00093
62551,K59G01S00094,K59G01S00094
62552,K59G01S00095,K59G01S00095
62553,K59G01S00096,K59G01S00096
62554,K59G01S00097,K59G01S00097
62555,K59G01S00098,K59G01S00098
62556,K59G01S00099,K59G01S00099
62557,K59G01S00100,K59G01S00100
62558,K59G01S00101,K59G01S00101
62559,K59G01S00102,K59G01S00102
62560,K59G01S00103,K59G01S00103
62561,K59G01S00104,K59G01S00104
62562,K59G01S00105,K59G01S00105
62563,K59G01S00106,K59G01S00106
62564,K59G01S00107,K59G01S00107
62565,K59G01S00108,K59G01S00108
62566,K59G01S00109,K59G01S00109A
62567,K59G01S00110,K59G01S00110
62568,K59G01S00111,K59G01S00111A
62569,K59G01S00112,K59G01S00111A
62570,K59G01S00113,K59G01S00113
62571,K59G01S00114,K59G01S00114
62572,K59G01S00115,K59G01S00115
62573,K59G01S00116,K59G01S00116
62574,K59G01S00117,K59G01S00117
62575,K59G01S00118,K59G01S00118
62576,K59G01S00119,K59G01S00119
62577,K59G01S00120,K59G01S00120
62578,K59G01S00121,K59G01S00121
62579,K59G01S00122,K59G01S00122
62580,K59G01S00123,K59G01S00123
62581,K59G01S00124,K59G01S00124
62582,K59G01S00125,K59G01S00125
62583,K59G01S00126,K59G01S00126
62584,K59G01S00127,K59G01S00127
62585,K59G01S00128,K59G01S00128
62586,K59G01S00129,K59G01S00129
62587,K59G01S00130,K59G01S00130
62588,K59G01S00131,K59G01S00131
62589,K59G01S00132,K59G01S00132
62590,K59G01S00133,K59G01S00133
62591,K59G01S00134,K59G01S00134
62592,K59G01S00135,K59G01S00135
62593,K59G01S00136,K59G01S00136
62594,K59G01S00137,K59G01S00137
62595,K59G01S00138,K59G01S00138
62596,K59G01S00139,K59G01S00139
62597,K59G01S00140,K59G01S00140
62598,K59G01S00141,K59G01S00141
62599,K59G01S00142,K59G01S00142
62600,K59G01S00143,K59G01S00143
62601,K59G01S00144,K59G01S00144
62602,K59G01S00145,K59G01S00145
62603,K59G01S00146,K59G01S00146
62604,K59G01S00147,K59G01S00147
62605,K59G01S00148,K59G01S00148
62606,K59G01S00149,K59G01S00149
62607,K59G01S00150,K59G01S00150
62608,K59G01S00151,K59G01S00151
62609,K59G01S00152,K59G01S00152
62610,K59G01S00153,K59G01S00153
62611,K59G01S00154,K59G01S00154
62612,K59G01S00155,K59G01S00155
62613,K59G01S00156,K59G01S00156
62615,K59G01S00158,K59G01S00158
62616,K59G01S00159,K59G01S00159
62617,K59G01S00160,K59G01S00160
62618,K59G01S00161,K59G01S00161
62619,K59G01S00162,K59G01S00162
62620,K59G01S00163,K59G01S00163
62621,K59G01S00164,K59G01S00164A
62622,K59G01S00165,K59G01S00165A
62623,K59G01S00166,K59G01S00166
62624,K59G01S00167,K59G01S00164A
62625,K59G01S00168,K59G01S00168
62626,K59G01S00169,K59G01S00169
62627,K59G01S00170,K59G01S00170
62629,K59G01S00171,K59G01S00171
62630,K59G01S00172,K59G01S00172
62631,K59G01S00173,K59G01S00173
62632,K59G01S00174,K59G01S00174
62633,K59G01S00175,K59G01S00175
62634,K59G01S00176,K59G01S00176
62635,K59G01S00177,K59G01S00177
62636,K59G01S00178,K59G01S00178
62637,K59G01S00179,K59G01S00179
62638,K59G01S00180,K59G01S00109A
62639,K59G01S00181,K59G01S00165A
62640,K59G01S00182,K59G01S00182
62641,K59G01S00183,K59G01S00183
,K59G01S00184,K59G01S00184A
62643,K59G01S00185,K59G01S00185
62644,K59G01S00186,K59G01S00186
62645,K59G01S00187,K59G01S00187
62646,K59G01S00188,K59G01S00188
62647,K59G01S00189,K59G01S00189
62648,K59G01S00190,K59G01S00190
62649,K59G01S00191,K59G01S00191
62650,K59G01S00192,K59G01S00192
62651,K59G01S00193,K59G01S00193
62652,K59G01S00194,K59G01S00194
62653,K59G01S00195,K59G01S00195
62654,K59G01S00196,K59G01S00196
62655,K59G01S00197,K59G01S00197
62656,K59G01S00198,K59G01S00198
62657,K59G01S00199,K59G01S00199
62658,K59G01S00200,K59G01S00200
62659,K59G01S00201,K59G01S00201
62660,K59G01S00202,K59G01S00202
62661,K59G01S00203,K59G01S00203
62662,K59G01S00204,K59G01S00204
62663,K59G01S00205,K59G01S00205
62664,K59G01S00206,K59G01S00206
62665,K59G01S00207,K59G01S00207A
62666,K59G02S00001,K59G02S00001A
62667,K59G02S00002,K59G02S00002
62668,K59G02S00003,K59G02S00001A
62669,K59G02S00004,K59G02S00004
62670,K59G02S00005,K59G02S00005
62671,K59G02S00006,K59G02S00006
62672,K59G02S00007,K59G02S00007A
62673,K59G02S00008,K59G02S00007A
62674,K59G02S00009,K59G02S00009A
62675,K59G02S00010,K59G02S00009A
62676,K59G02S00011,K59G02S00011
62677,K59G02S00012,K59G02S00012
62678,K59G02S00013,K59G02S00013
62679,K59G02S00014,K59G02S00014A
62680,K59G02S00015,K59G02S00015
62681,K59G02S00016,K59G02S00014A
62682,K59G02S00017,K59G02S00017
62683,K59G02S00018,K59G02S00018
62684,K59G02S00019,K59G02S00019A
62685,K59G02S00020,K59G02S00020
62686,K59G02S00021,K59G02S00021
62687,K59G02S00022,K59G02S00022A
62688,K59G02S00023,K59G02S00022A
62689,K59G02S00024,K59G02S00024
62690,K59G02S00025,K59G02S00025
62691,K59G02S00026,K59G02S00019A
62692,K59G02S00027,K59G02S00027
62693,K59G02S00028,K59G02S00028
62694,K59G02S00029,K59G02S00029
62695,K59G02S00030,K59G02S00030
62696,K59G02S00031,K59G02S00031A
62697,K59G02S00032,K59G02S00031A
62698,K59G02S00033,K59G02S00033
62699,K59G02S00034,K59G01S00207A
62700,K59G02S00035,K59G01S00207A
62701,K59G02S00036,K59G01S00207A
62702,K59G02S00037,K59G01S00207A
62703,K59G02S00038,K59G01S00184A
62704,K59G02S00039,K59G01S00184A
62705,K59G02S00040,K59G01S00184A
62706,K59G02S00041,K59G02S00041
62707,K59G02S00042,K59G02S00042A
62708,K59G02S00043,K59G02S00043
62709,K59G02S00044,K59G02S00042A
62710,K59G02S00045,K59G02S00045
62711,K59G02S00046,K59G02S00046A
62712,K59G02S00047,K59G02S00046A
62713,K59G02S00048,K59G02S00046A
62714,K59G02S00049,K59G02S00046A
62715,K59G02S00050,K59G02S00050
62716,K59G02S00051,K59G02S00051
62717,K59G02S00052,K59G02S00052
62718,K59G02S00053,K59G02S00053
62719,K59G02S00054,K59G02S00054
62720,K59G02S00055,K59G02S00055
62721,K59G02S00056,K59G02S00056
62722,K59G02S00057,K59G02S00057
62723,K59G02S00058,K59G02S00058
62724,K59G02S00059,K59G02S00059
62725,K59G02S00060,K59G02S00060
62726,K59G02S00061,K59G02S00061
62727,K59G02S00062,K59G02S00062
62728,K59G02S00063,K59G02S00063
62729,K59G02S00064,K59G02S00064
62730,K59G02S00065,K59G02S00065
62731,K59G02S00066,K59G02S00066
62732,K59G02S00067,K59G02S00067
62733,K59G02S00068,K59G02S00068
62734,K59G02S00069,K59G02S00069
62735,K59G02S00070,K59G02S00070
62736,K59G02S00071,K59G02S00071
62737,K59G02S00072,K59G02S00072
62738,K59G02S00073,K59G02S00073
62739,K59G02S00074,K59G02S00074
62740,K59G02S00075,K59G02S00075
62741,K59G02S00076,K59G02S00076
62742,K59G02S00077,K59G02S00077
62743,K59G02S00078,K59G02S00078
62744,K59G02S00079,K59G02S00079
62745,K59G02S00080,K59G02S00080
62746,K59G02S00081,K59G02S00081
62747,K59G02S00082,K59G02S00082
62748,K59G02S00083,K59G02S00083
62749,K59G02S00084,K59G02S00084
62750,K59G02S00085,K59G02S00085
62751,K59G02S00086,K59G02S00086
62752,K59G02S00087,K59G02S00087
62753,K59G02S00088,K59G02S00088
62754,K59G02S00089,K59G02S00089
62755,K59G02S00090,K59G02S00090
62756,K59G02S00091,K59G02S00091
62757,K59G02S00092,K59G02S00092
62758,K59G02S00093,K59G02S00093
62759,K59G02S00094,K59G02S00094
62760,K59G02S00095,K59G02S00095
62761,K59G02S00096,K59G02S00096A
62762,K59G02S00097,K59G02S00096A
62763,K59G02S00098,K59G02S00098A
62764,K59G02S00099,K59G02S00098A
62765,K59G02S00100,K59G02S00100
62766,K59G02S00101,K59G02S00101
62767,K59G02S00102,K59G02S00102
62768,K59G02S00103,K59G02S00103A
62769,K59G02S00104,K59G02S00103A
62770,K59G02S00105,K59G02S00105
62771,K59G02S00106,K59G02S00106
62772,K59G02S00107,K59G02S00107
62773,K59G02S00108,K59G02S00108
62774,K59G02S00109,K59G02S00109
62775,K59G02S00110,K59G02S00110
62776,K59G02S00111,K59G02S00111
62777,K59G02S00112,K59G02S00112A
62778,K59G02S00113,K59G02S00112A
62779,K59G02S00114,K59G02S00114A
62780,K59G02S00115,K59G02S00114A
62781,K59G02S00116,K59G02S00116
62782,K59G02S00117,K59G02S00117
62783,K59G02S00118,K59G02S00118
62784,K59G02S00119,K59G02S00119
62785,K59G02S00120,K59G02S00120
62786,K59G02S00121,K59G02S00121
62787,K59G02S00122,K59G02S00122
62788,K59G02S00123,K59G02S00123
62789,K59G03S00001,K59G03S00001A
62790,K59G03S00002,K59G03S00001A
62791,K59G03S00003,K59G03S00001A
62792,K59G03S00004,K59G03S00001A
62793,K59G03S00005,K59G03S00001A
62794,K59G03S00006,K59G03S00001A
62795,K59G03S00007,K59G03S00007
62796,K59G03S00008,K59G03S00008
62797,K59G03S00009,K59G03S00009
